         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
             val	               4	              91	     Morgan3Feat	            Dice	  0.505494505495	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan3Feat	            Dice	  0.441696113074	  0.583038869258	  0.648409893993	   0.73851590106	  0.812720848057	  0.856890459364
             val	               2	            1190	     Morgan3Feat	            Dice	  0.620168067227	  0.851260504202	  0.915966386555	  0.947058823529	  0.954621848739	  0.954621848739
             val	               1	            1515	     Morgan3Feat	            Dice	  0.491749174917	  0.685148514851	  0.769636963696	  0.855445544554	  0.903630363036	  0.911551155116
             val	             all	            5001	     Morgan3Feat	            Dice	  0.379724055189	  0.553889222156	  0.637272545491	  0.742051589682	  0.819836032793	  0.853829234153
             val	              10	              23	     Morgan3Feat	        TverskyA	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan3Feat	        TverskyA	  0.360655737705	  0.551912568306	  0.655737704918	  0.765027322404	  0.852459016393	  0.901639344262
             val	               8	              81	     Morgan3Feat	        TverskyA	  0.765432098765	  0.950617283951	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan3Feat	        TverskyA	  0.574837310195	  0.704989154013	   0.80694143167	  0.904555314534	  0.937093275488	  0.945770065076
             val	               6	             824	     Morgan3Feat	        TverskyA	  0.493932038835	  0.793689320388	  0.891990291262	  0.941747572816	  0.952669902913	  0.955097087379
             val	               5	              67	     Morgan3Feat	        TverskyA	  0.940298507463	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	     Morgan3Feat	        TverskyA	  0.505494505495	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan3Feat	        TverskyA	   0.43109540636	  0.577738515901	  0.639575971731	  0.722614840989	  0.810954063604	  0.855123674912
             val	               2	            1190	     Morgan3Feat	        TverskyA	   0.62268907563	  0.852100840336	  0.911764705882	  0.942016806723	  0.951260504202	  0.951260504202
             val	               1	            1515	     Morgan3Feat	        TverskyA	   0.50495049505	  0.687128712871	  0.770297029703	  0.850825082508	  0.903630363036	  0.909570957096
             val	             all	            5001	     Morgan3Feat	        TverskyA	  0.381523695261	  0.552289542092	  0.637872425515	  0.742651469706	  0.818836232753	  0.850829834033
             val	              10	              23	     Morgan3Feat	        TverskyB	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan3Feat	        TverskyB	  0.360655737705	  0.579234972678	  0.655737704918	   0.75956284153	  0.863387978142	  0.912568306011
             val	               8	              81	     Morgan3Feat	        TverskyB	  0.777777777778	  0.950617283951	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan3Feat	        TverskyB	  0.577006507592	  0.702819956616	  0.802603036876	   0.90021691974	  0.937093275488	  0.943600867679
             val	               6	             824	     Morgan3Feat	        TverskyB	  0.495145631068	  0.781553398058	  0.883495145631	  0.940533980583	  0.955097087379	  0.955097087379
             val	               5	              67	     Morgan3Feat	        TverskyB	  0.940298507463	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	     Morgan3Feat	        TverskyB	  0.527472527473	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan3Feat	        TverskyB	  0.446996466431	  0.572438162544	  0.641342756184	   0.73851590106	  0.816254416961	  0.856890459364
             val	               2	            1190	     Morgan3Feat	        TverskyB	  0.615966386555	  0.848739495798	  0.910924369748	  0.947899159664	  0.955462184874	  0.955462184874
             val	               1	            1515	     Morgan3Feat	        TverskyB	  0.479207920792	  0.681848184818	  0.762376237624	  0.847524752475	  0.903630363036	  0.910891089109
             val	             all	            5001	     Morgan3Feat	        TverskyB	  0.374725054989	  0.549890021996	  0.630673865227	  0.737652469506	  0.822235552889	  0.857628474305
            test	              10	              23	     Morgan2Feat	        Tanimoto	  0.913043478261	  0.913043478261	  0.913043478261	  0.913043478261	  0.913043478261	  0.913043478261
            test	               9	             184	     Morgan2Feat	        Tanimoto	   0.41847826087	  0.510869565217	  0.614130434783	  0.711956521739	  0.842391304348	  0.923913043478
            test	               8	              82	     Morgan2Feat	        Tanimoto	  0.853658536585	  0.975609756098	  0.975609756098	  0.987804878049	  0.987804878049	  0.987804878049
            test	               7	             462	     Morgan2Feat	        Tanimoto	  0.573593073593	  0.751082251082	  0.829004329004	  0.883116883117	  0.919913419913	  0.924242424242
            test	               6	             824	     Morgan2Feat	        Tanimoto	  0.508495145631	  0.821601941748	  0.898058252427	  0.955097087379	  0.966019417476	  0.966019417476
            test	               5	              68	     Morgan2Feat	        Tanimoto	  0.897058823529	  0.970588235294	  0.970588235294	  0.970588235294	  0.970588235294	  0.970588235294
            test	               4	              91	     Morgan2Feat	        Tanimoto	  0.516483516484	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
            test	               3	             567	     Morgan2Feat	        Tanimoto	  0.380952380952	  0.555555555556	   0.62962962963	  0.746031746032	  0.835978835979	  0.873015873016
            test	               2	            1190	     Morgan2Feat	        Tanimoto	  0.631092436975	  0.849579831933	  0.905042016807	  0.942016806723	  0.945378151261	  0.946218487395
            test	               1	            1516	     Morgan2Feat	        Tanimoto	  0.477572559367	  0.673482849604	   0.77110817942	  0.866754617414	  0.919525065963	  0.927440633245
            test	             all	            5007	     Morgan2Feat	        Tanimoto	  0.373277411624	  0.546834431795	  0.633113640903	  0.740762931895	  0.820451368085	  0.853205512283
